feature,pulse1,pulse2,pulse3,pulse4,pulse5,pulse6,pulse7,pulse8,,pulse1,pulse2,pulse3,pulse4,pulse5,pulse6,pulse7,pulse8
zc,193,526,189,206,179,354,248,298,,1.566579634,0.757575758,2.610966057,1.445783133,1.662049861,0.563380282,4.339250493,2.32172471
mean abs,0.08637,0.07308,0.15321,0.10602,0.09617,0.18793,0.14593,0.19584,,0.139033716,0.013684571,0.091336117,1.004176247,1.281124083,0.159506593,0.642076503,0.438171906
slope sign,311,598,367,285,268,521,431,481,,2.852614897,0.832639467,1.353179973,1.393728223,2.21402214,2.089268756,1.382488479,3.27198364
wave len,164.383,258.32,167.893,129.469,117.192,215.935,179.301,219.384,,1.439231283,0.868387124,1.455736619,2.125936115,2.001241801,0.063424898,1.020637474,2.826597882
wilison,7203,14084,0,4798,4801,5129,176,178,,0.636590091,0.58758982,0,0.498960499,0.643620887,0.23369036,1.129943503,2.770083102
v-order,1.3927,2.2006,0.6341,1.2437,1.2483,1.0828,0.7132,0.9405,,0.293959491,0.344765015,0.25200819,0.281022923,3.115019124,0.156877221,0.182111088,0.339666702
,,,,,,,,,,,,,,,,,
feature,test1,test2,test3,test4,test5,test6,test7,test8,,,,,,,,,
zc,190,530,194,209,182,356,259,305,,,,,,,,,
mean abs,0.08625,0.07307,0.15335,0.10709,0.09741,0.18823,0.14687,0.1967,,,,,,,,,
slope sign,320,603,372,289,274,532,437,497,,,,,,,,,
wave len,166.766,260.573,170.355,132.251,119.561,216.072,181.1404,225.674,,,,,,,,,
wilison,7249,14167,0,4822,4832,5141,178,183,,,,,,,,,
v-order,1.3968,2.2082,0.6357,1.2472,1.2878,1.0845,0.7145,0.9437,,,,,,,,,
